taxon_id	order	scientific_name	massg	diet	realm	gisfrag_high	high_hfp_change_high	high_hfp_change_medium_unsuitable	high_hfp_extent_high	high_hfp_extent_medium_unsuitable	gisfrag_medium_unsuitable	proportion_high	gestation_length	weaning_age	trans_first_last
18	Rodentia	Abrocoma boliviensis	158	Herbivore	Neotropical			0		100	1426.852324	0	97.008	32.992	High-risk
137	Chiroptera	Acerodon celebensis	390	Herbivore	Australasian	694.0868955	0.170010201	0.018443039	99.80835214	99.20787149	1361.175677	37.34394859	169.0303406	231.6249775	High-risk
138	Chiroptera	Acerodon humilis	599.6	Herbivore	Australasian	514.5974752	0	0	100	100	489.5249866	52.18882158	160.3567888	170.4594486	High-risk
139	Chiroptera	Acerodon jubatus	1075	Herbivore	Indomalayan	521.6448749	1.790536574	0.695483099	89.00727956	96.23373467	1877.720953	24.22516627	172.0365423	141.7196455	High-risk
140	Chiroptera	Acerodon leucotis	513.2	Herbivore	Indomalayan	726.7089749	1.525998493	0.471976401	97.00452148	99.38053097	813.7065055	43.57032344	160.3567888	170.4594486	High-risk
142	Chiroptera	Acerodon mackloti	470.3	Herbivore	Australasian	486.3723571	0.206789592	0.160902256	99.77597794	99.76240602	4186.009743	8.073027975	157.4327604	155.8816886	High-risk
219	Carnivora	Acinonyx jubatus	46700	Vertebrate carnivore	Afrotropical|Palearctic	28433.16643	1.786460033	1.709714551	59.13915495	87.15379101	950.2444549	85.97545107	92.24	91.42	High-risk
263	Rodentia	Acomys cahirinus	52.5	Omnivore	Afrotropical|Palearctic	21159.61103	1.17148653	0.060719112	37.55855086	15.88356777	6401.448638	73.95063278	38.54	14	Low-risk
265	Rodentia	Acomys cineraceus	20.3	Invertebrate carnivore	Afrotropical	3344.531369	1.595009352	1.370918014	95.24982284	97.34008683	24612.6793	24.45045823	22.5437	17.32718	Low-risk
266	Rodentia	Acomys ignitus	24	Omnivore	Afrotropical	1808.29518	2.198757764	0.507779618	70.41614907	92.01944226	8673.456128	30.33535187	20.6949	18.37491	Low-risk
267	Rodentia	Acomys kempi	22	Omnivore	Afrotropical	2420.190038	3.088172043	1.932322841	80.03311828	91.97809383	4513.610721	40.57296924	22.55304	26.59464	Low-risk
268	Rodentia	Acomys louisae	20.2	Omnivore	Afrotropical	2185.631853	1.42345595	1.705089686	95.85047301	95.24371874	24073.15445	29.35108213	23.89353	26.50786	Low-risk
270	Rodentia	Acomys mullah	28.4	Omnivore	Afrotropical	1570.39243	1.669266593	0.977821479	96.78330278	97.91188681	5229.683333	54.68133851	23.55813	26.29195	Low-risk
272	Rodentia	Acomys percivali	22	Omnivore	Afrotropical	1194.858615	5.918795459	3.279331937	82.1632325	93.4437514	15635.39581	22.87022734	22.55304	26.59464	Low-risk
273	Rodentia	Acomys russatus	49.8	Omnivore	Palearctic	6761.483962	3.181629525	0.862386031	70.42763136	93.24222304	2657.842255	85.25747974	34	26.36411	Low-risk
275	Rodentia	Acomys subspinosus	21	Omnivore	Afrotropical	330.7192562	0.165310275	0.222629854	99.31332655	98.92761394	2073.928219	10.87805527	21.6315	24.98317	Low-risk
276	Rodentia	Acomys wilsoni	18.5	Omnivore	Afrotropical	2472.106585	3.506682183	1.280464193	84.28322589	95.88197855	17590.58704	29.06764082	39	26.42169	Low-risk
278	Rodentia	Aconaemys fuscus	133.5	Herbivore	Neotropical	655.3115466	0.467584987	0.471417966	96.35199461	89.66221232	2112.093853	46.87236952	24.88021	22.86139	Low-risk
512	Cetartiodactyla	Addax nasomaculatus	70000.3	Herbivore	Palearctic	20559.41988	0	0	1.623741816	100	655.9872554	99.4977288	262.74	198	High-risk
547	Rodentia	Handleyomys fuscatus	49.5	Omnivore	Neotropical	827.8415626	0.626091144	0.440611821	98.47089278	96.30358154	4732.801014	20.7618357	23.70233	26.90359	Low-risk
548	Rodentia	Aepeomys lugens	37	Herbivore	Neotropical	678.1102511	0	0	100	100	2035.39022	32.04188186	23.32237	25.25216	Low-risk
550	Cetartiodactyla	Aepyceros melampus	52500.1	Herbivore	Afrotropical	1048.929506	1.805400861	2.192190816	89.5891629	89.70084197	1774.563514	36.48477519	196.74	150	Low-risk
555	Rodentia	Aeretes melanopterus	732.4	Herbivore	Palearctic	734.146645	0	0.208536077	85.51807411	88.66722276	3885.905279	23.4479667	38.44557	36.74385	High-risk
557	Rodentia	Aeromys thomasi	1435	Omnivore	Indomalayan	1003.003417	13.97184692	5.851323365	51.36027389	83.68102616	1010.657663	58.53566597	62.397	77.029	Low-risk
565	Chiroptera	Aethalops alecto	15	Herbivore	Indomalayan	965.1349458	5.898653998	5.623088515	71.34072315	80.29154432	9622.328719	11.11251724	123.080811	65.70730224	Low-risk
567	Rodentia	Aethomys silindensis	107.6	Herbivore	Afrotropical	1038.668518	0	0	100	100	919.8075145	60.33338607	30.653	27.242	High-risk
568	Rodentia	Aethomys bocagei	107.6	Herbivore	Afrotropical	659.0897094	4.528193049	2.451815064	89.64692592	94.80903394	1421.953873	33.2440115	23.55813	26.29195	Low-risk
569	Rodentia	Aethomys chrysophilus	74.9	Herbivore	Afrotropical	3118.544411	1.505517275	1.188672836	80.77907076	90.44822891	4000.827619	48.31795433	26.17	24.88	Low-risk
570	Rodentia	Micaelamys granti	40	Omnivore	Afrotropical	330.9309848	0.441919192	0.191141728	94.6969697	96.74676779	12710.23088	1.171009543	21.35106	24.44349	Low-risk
571	Rodentia	Aethomys hindei	103.5	Herbivore	Afrotropical	802.3389676	7.78613948	2.88301729	73.16075862	80.24711422	5449.386641	22.70349987	24.66	23.75134	Low-risk
572	Rodentia	Aethomys kaiseri	90	Herbivore	Afrotropical	1121.191587	2.963059496	1.535855654	91.13808832	91.3461109	3534.129205	58.58797168	27	26	Low-risk
573	Rodentia	Micaelamys namaquensis	57.1	Omnivore	Afrotropical	13614.17401	0.811087519	0.761733634	81.40282483	93.79751811	586.8602669	81.25287977	21.99	27.5	Low-risk
574	Rodentia	Aethomys nyikae	77	Herbivore	Afrotropical	1072.081461	6.495714031	2.998921874	84.86899033	89.89518016	1176.093217	68.25882349	23.87375	27.12515	Low-risk
575	Rodentia	Aethomys stannarius	107.6	Herbivore	Afrotropical	1333.48479	0	0	100	99.96950538	656.8950405	71.33315827	29.799	26.876	High-risk
576	Rodentia	Aethomys thomasi	107.6	Herbivore	Afrotropical	398.0406332	1.410471293	1.008292825	95.2061021	96.8203419	1116.182257	25.70183782	23.55813	26.29195	Low-risk
699	Rodentia	Cuniculus paca	8000	Herbivore	Neotropical	3149.420792	1.925302854	1.264898909	27.91153089	78.99495062	2990.445961	58.74075218	116.24	82.75	Low-risk
700	Rodentia	Cuniculus taczanowskii	8999.9	Herbivore	Neotropical	878.2061503	3.179154615	4.215742248	73.86158091	68.93630219	4840.474374	29.76613569	121.77562	80.48632	High-risk
712	Carnivora	Ailuropoda melanoleuca	108400	Omnivore	Indomalayan|Palearctic	1137.810577	0.27554535	0.187416332	70.74626866	81.52610442	553.7223793	77.801037	134.99	178.98	Low-risk
714	Carnivora	Ailurus fulgens	4900	Omnivore	Indomalayan|Palearctic	807.821507	2.243381015	0.798142306	83.10210864	85.63206678	3855.069581	30.38626799	131.5	136.87	High-risk
723	Rodentia	Akodon aerosus	60	Omnivore	Neotropical	973.8133526	4.888058457	3.629213281	55.07991058	57.93093541	1687.876669	51.72524671	24.04622	27.17203	Low-risk
724	Rodentia	Akodon affinis	24.9	Omnivore	Neotropical	816.6835796	0.823898368	1.066677821	97.31568596	93.99732285	1379.262163	44.00845162	23.29667	23.48638	Low-risk
725	Rodentia	Akodon albiventer	21.8	Omnivore	Neotropical	1564.089649	0.825790996	2.01151052	83.66511181	66.80378652	2138.253645	58.8634544	68.98505	82.97482	Low-risk
726	Rodentia	Akodon azarae	25	Omnivore	Neotropical	2282.754108	0.28041977	0.045217729	90.40341231	98.15086364	2409.248736	30.27613097	23	14.44	Low-risk
727	Rodentia	Neomicroxus bogotensis	13	Omnivore	Neotropical	648.0442968	0.548898338	1.37831204	99.38925396	98.32798372	2495.936937	21.30323061	29.65991	28.38731	Low-risk
728	Rodentia	Akodon boliviensis	27.5	Omnivore	Neotropical	1476.845889	0.169432552	0.996940337	98.88582969	94.73227945	2300.100687	60.85515308	22.6774	23.03109	Low-risk
729	Rodentia	Akodon budini	26.9	Omnivore	Neotropical	838.7781308	3.609803211	0.678886626	65.9181456	83.74066531	4717.797965	41.22518933	23.42193	27.07119	Low-risk
730	Rodentia	Akodon cursor	39.9	Omnivore	Neotropical	482.8452965	0.511950655	0.22440462	88.6538165	94.793236	6242.196073	11.74757431	29.97862	28.91294	Low-risk
731	Rodentia	Akodon dayi	32.5	Omnivore	Neotropical	458.1631271	2.281368821	3.693429613	86.55375043	75.38428541	8555.249359	4.00789989	24.14854	26.99805	Low-risk
733	Rodentia	Akodon fumeus	22.7	Omnivore	Neotropical	1248.798151	3.74457551	1.374574481	77.08665762	94.07676957	3154.863555	44.04224922	22.56965	26.61842	Low-risk
735	Rodentia	Abrothrix illutea	47.8	Omnivore	Neotropical	835.3296282	2.688486265	0.578484815	84.36002338	79.81977973	9032.359299	23.99679786	24.05556	27.44383	Low-risk
736	Rodentia	Akodon iniscatus	28.7	Omnivore	Neotropical	5376.779471	1.385286293	2.028124188	84.42212627	82.98746428	798.9282991	89.26053174	27.32223	25.07844	Low-risk
737	Rodentia	Akodon juninensis	39	Omnivore	Neotropical	584.5542898	0.473890458	0.215879869	97.8401531	97.68458258	2622.994429	18.905678	24.14294	27.13332	Low-risk
738	Rodentia	Deltamys kempi	26.4	Omnivore	Neotropical	1739.179367	0.027722333	0	73.28121535	98.19915691	3569.930738	13.11324844	45.90814	55.55319	Low-risk
739	Rodentia	Akodon kofordi	29.5	Omnivore	Neotropical	304.6924154	1.944444444	3.05027023	75	64.99592804	3017.317652	2.557094818	24.08664	26.89172	Low-risk
740	Rodentia	Abrothrix lanosus	32.5	Omnivore	Neotropical	1204.138109	10.19226721	4.451012779	46.13360466	49.44797009	1333.048757	71.31914894	23.83657	26.88486	Low-risk
741	Rodentia	Neomicroxus latebricola	39	Omnivore	Neotropical	788.7254936	10.20895522	7.438316401	60.53731343	66.69085631	876.9358404	55.04364338	24.14294	27.13332	High-risk
743	Rodentia	Abrothrix longipilis	37.6	Omnivore	Neotropical	3099.76868	1.191262211	1.034314583	80.48042362	68.3761077	697.1847489	84.79770602	27.25208	24.65161	Low-risk
746	Rodentia	Akodon mimus	24	Omnivore	Neotropical	635.595247	1.906084322	0.416308068	96.01110831	98.64699878	5424.861847	13.72037403	20.6949	18.37491	Low-risk
747	Rodentia	Akodon molinae	33	Omnivore	Neotropical	9765.631588	1.260936276	0.292421281	83.00334073	93.92539218	2177.537769	85.59864432	23	26	Low-risk
748	Rodentia	Akodon mollis	30.4	Omnivore	Neotropical	988.2286459	0.28726627	2.669273222	94.77828267	81.5283987	2457.164042	28.58445706	24.22411	26.90728	Low-risk
750	Rodentia	Thaptomys nigrita	19.9	Invertebrate carnivore	Neotropical	852.502893	0.145998103	0.051084918	93.87465808	98.3337152	957.0078098	44.40536884	30.96921	38.51091	Low-risk
751	Rodentia	Abrothrix olivaceus	27	Omnivore	Neotropical	3082.937695	0.997433938	0.427680129	80.41011474	64.62456393	2149.039161	77.77349624	22.94841	25.43643	Low-risk
752	Rodentia	Akodon orophilus	39	Omnivore	Neotropical	1569.078147	2.742339335	4.815280796	51.12674377	55.9819284	4104.216992	48.95199122	24.14294	27.13332	Low-risk
753	Rodentia	Akodon lutescens	20.7	Omnivore	Neotropical	1295.162696	0.021234291	0.607395989	98.71436017	92.50850354	10007.49498	29.4547861	26.83525	25.18352	Low-risk
754	Rodentia	Abrothrix sanborni	24.7	Omnivore	Neotropical	754.1742703	0.669506999	0.600700818	87.0764861	56.87468713	1304.351523	45.31748249	22.88517	23.64112	High-risk
756	Rodentia	Akodon serrensis	28.3	Omnivore	Neotropical	687.2418182	0.097968667	0.035110846	92.47722012	97.7251868	990.2567461	41.47854963	22.5787	26.35721	Low-risk
757	Rodentia	Akodon siberiae	34.6	Omnivore	Neotropical	792.7973521	4.738227552	2.595169233	69.37701082	83.9013523	4148.60793	21.21375343	24.14109	26.95225	High-risk
758	Rodentia	Akodon simulator	42.5	Omnivore	Neotropical	870.9820508	2.335984095	1.680750475	78.64811133	82.64341287	7527.252178	31.94130333	22.78343	25.31118	Low-risk
760	Rodentia	Akodon subfuscus	30.4	Omnivore	Neotropical	1237.501647	0.509990637	0.567703953	94.99571688	90.91954023	2071.110195	58.43122218	24.22411	26.90728	Low-risk
761	Rodentia	Akodon surdus	39	Omnivore	Neotropical	911.420102	0.241935484	0.524175328	45.68548387	83.59692725	3510.454251	31.09079768	24.14294	27.13332	High-risk
762	Rodentia	Akodon sylvanus	39	Omnivore	Neotropical	878.5461252	3.115549215	0.216665162	76.95292439	91.12124221	3648.843549	44.26299392	24.14294	27.13332	Low-risk
