transition	first	last	frequency	relative_frequency	relative_fequency_percentage	asin_transform
CRNT	CR	NT	1	0.000225938	0.022593764	0.015031788
LCCR	LC	CR	1	0.000225938	0.022593764	0.015031788
NTCR	NT	CR	2	0.000451875	0.045187528	0.02125896
CRVU	CR	VU	3	0.000677813	0.067781292	0.026037783
CREN	CR	EN	4	0.000903751	0.090375056	0.030066974
ENNT	EN	NT	4	0.000903751	0.090375056	0.030066974
ENVU	EN	VU	5	0.001129688	0.112968821	0.033617166
LCEN	LC	EN	6	0.001355626	0.135562585	0.036827148
VUNT	VU	NT	7	0.001581563	0.158156349	0.039779366
VUCR	VU	CR	8	0.001807501	0.180750113	0.042527535
NTLC	NT	LC	9	0.002033439	0.203343877	0.045108963
NTEN	NT	EN	11	0.002485314	0.248531405	0.049873597
LCVU	LC	VU	18	0.004066878	0.406687754	0.06381538
ENCR	EN	CR	46	0.010393131	1.03931315	0.102124131
NTVU	NT	VU	54	0.012200633	1.220063263	0.110682323
VUEN	VU	EN	61	0.013782196	1.378219611	0.117668951
LCNT	LC	NT	62	0.014008134	1.400813376	0.118634043
CRCR	CR	CR	135	0.030501582	3.050158156	0.175547267
NTNT	NT	NT	261	0.058969724	5.896972436	0.245289147
ENEN	EN	EN	374	0.084500678	8.450067781	0.294947903
VUVU	VU	VU	403	0.091052869	9.105286941	0.306527347
LCLC	LC	LC	2951	0.666741979	66.67419792	0.955396501
